주민등록번호,이름,세대주관계,세대원1,세대원1관계,세대원2,세대원2관계,세대원3,세대원3관계
651025-2967658,이서민,본인,장윤진,배우자,정지영,자녀,,
990105-9968050,최서현,본인,최지혁,배우자,최정빈,자녀,오현호,자녀
650623-3338667,최지영,본인,임현혁,배우자,박서진,자녀,,
901023-0534269,박예우,본인,정정영,배우자,,,,
530426-0110217,송민민,본인,김현빈,배우자,,,,
520103-8860290,정도윤,본인,오서윤,배우자,박지진,자녀,,
710202-7988670,강도연,본인,정하수,배우자,정윤빈,자녀,,
880624-9436768,강민윤,본인,이민윤,배우자,이도연,자녀,,
761204-3752086,한민영,본인,조현연,배우자,오도진,자녀,김민영,자녀
570925-2971915,박태현,본인,오지호,배우자,김하빈,자녀,,
770714-9927229,정준진,본인,이정윤,배우자,조윤율,자녀,,
800626-6276256,윤태영,본인,장현수,배우자,조준율,자녀,,
950415-2856261,강예민,본인,,,,,,
560911-2959045,강준진,본인,장준연,배우자,오도윤,자녀,,
540223-4334690,강태영,본인,정정혁,배우자,,,,
961007-9378402,강태민,본인,,,,,,
901022-9968472,김민빈,본인,,,,,,
750627-4564934,강태우,본인,박지우,배우자,,,,
510311-4143718,정준빈,본인,,,,,,
850908-7835512,임준민,본인,임민수,배우자,이서연,자녀,,
781110-9915967,강하민,본인,최민호,배우자,정예우,자녀,윤하혁,자녀
910510-9871059,정준영,본인,오정영,배우자,박서진,자녀,,
720425-0248622,박서수,본인,윤예혁,배우자,,,,
961228-4212622,박지현,본인,임현영,배우자,,,,
880601-5649099,박하진,본인,윤민영,배우자,김정영,자녀,,
980818-0461528,한영아,본인,최현호,배우자,박현영,자녀,,
660803-5641922,임민민,본인,,,,,,
950317-0931943,김예아,본인,이서호,배우자,김지호,자녀,윤서수,자녀
590817-8785135,임영빈,본인,이준빈,배우자,,,,
780219-9977192,정민수,본인,임민빈,배우자,최도혁,자녀,박도호,자녀
671018-1808768,김태아,본인,임예윤,배우자,정지호,자녀,최현우,자녀
900207-4562101,이도연,본인,임준연,배우자,장하진,자녀,임예율,자녀
500706-8582530,최민우,본인,임지영,배우자,이도빈,자녀,,
520709-9760323,윤서현,본인,김현혁,배우자,오도우,자녀,임정율,자녀
910627-6953900,한준연,본인,박도율,배우자,정예진,자녀,최지윤,자녀
931221-2028111,박예아,본인,이서수,배우자,최지율,자녀,윤하영,자녀
770102-3230428,이도수,본인,윤지수,배우자,박윤우,자녀,장하우,자녀
820925-4851678,박준빈,본인,장현빈,배우자,이예진,자녀,윤준혁,자녀
640424-7981632,한준연,본인,조정진,배우자,정도빈,자녀,임서진,자녀
600922-5643006,윤서윤,본인,오준우,배우자,박도호,자녀,,
530318-6646926,정현연,본인,오윤호,배우자,이민수,자녀,윤윤빈,자녀
550108-2160358,임예우,본인,김정율,배우자,,,,
790404-5539046,임하빈,본인,윤서수,배우자,,,,
840910-9032909,최하빈,본인,,,,,,
770212-3578423,임도진,본인,김도영,배우자,이예빈,자녀,,
901108-2593873,이태윤,본인,임정영,배우자,이하호,자녀,,
890717-9739476,정예윤,본인,임준빈,배우자,최준연,자녀,이예영,자녀
520516-0162373,박영수,본인,장서혁,배우자,이하우,자녀,임정수,자녀
810424-2987312,최민아,본인,정현연,배우자,,,,
910428-6699887,송서현,본인,정하혁,배우자,장도연,자녀,임민윤,자녀
610923-1039674,박영수,본인,,,,,,
500326-4199951,강준아,본인,김준우,배우자,최민우,자녀,정준혁,자녀
591123-9959610,윤준윤,본인,김윤연,배우자,박정율,자녀,김도우,자녀
690607-8933466,정민영,본인,,,,,,
821215-8862083,이예수,본인,조예연,배우자,김윤진,자녀,,
710907-7880936,정도연,본인,이도수,배우자,장정진,자녀,김윤윤,자녀
820101-7758607,임하영,본인,오윤연,배우자,윤정연,자녀,오현빈,자녀
800803-2555173,임예아,본인,김민율,배우자,윤민연,자녀,장현빈,자녀
810206-8549053,강준아,본인,,,,,,
800910-7186766,임예영,본인,,,,,,
760723-7197920,한예우,본인,,,,,,
920717-9588124,송서현,본인,김준호,배우자,조현율,자녀,,
820820-7030528,윤하윤,본인,,,,,,
560717-6574732,최태연,본인,김예연,배우자,,,,
710303-2300618,송도아,본인,장지수,배우자,조지연,자녀,,
530407-5889347,윤지아,본인,정지빈,배우자,,,,
701224-2069321,최영우,본인,윤하혁,배우자,,,,
980726-2548023,김지현,본인,박지윤,배우자,,,,
940920-3724582,한도우,본인,박현호,배우자,임서율,자녀,,
851025-7227161,강하우,본인,오지윤,배우자,박현우,자녀,,
941210-3535462,강영민,본인,최정연,배우자,,,,
641205-0234929,한현영,본인,장준영,배우자,임현영,자녀,정예율,자녀
771219-2935360,김민영,본인,박예율,배우자,,,,
680217-1122919,임준수,본인,장민율,배우자,임도영,자녀,,
900221-1843363,이태빈,본인,,,,,,
890903-2846596,한민수,본인,최정율,배우자,임서율,자녀,,
910511-3546534,정영빈,본인,윤하수,배우자,,,,
991127-9253196,한영빈,본인,임정윤,배우자,이준빈,자녀,,
910305-9529284,김지민,본인,,,,,,
751222-8935655,송민현,본인,조준연,배우자,최하연,자녀,정준연,자녀
900201-3620761,송지진,본인,윤예연,배우자,,,,
881004-7226818,윤민빈,본인,박서연,배우자,조예수,자녀,장현빈,자녀
580208-8791495,송준진,본인,오지호,배우자,임준혁,자녀,오서호,자녀
650415-5280139,정지연,본인,,,,,,
660920-5763566,강준진,본인,,,,,,
580211-8342780,강지아,본인,정하호,배우자,박정혁,자녀,오예호,자녀
880724-4589791,윤지영,본인,박윤빈,배우자,,,,
990512-6548821,정태윤,본인,임서연,배우자,정하혁,자녀,임정진,자녀
621003-0278601,박서빈,본인,정현윤,배우자,박예윤,자녀,,
550901-8050017,윤현영,본인,,,,,,
950313-4680777,강서진,본인,오하빈,배우자,임민윤,자녀,김도수,자녀
800905-7808517,이민아,본인,윤도호,배우자,이하연,자녀,정하율,자녀
710809-8967130,김민진,본인,이민윤,배우자,,,,
661002-4059737,최준아,본인,박예호,배우자,,,,
550419-7177788,최예수,본인,조지수,배우자,임서윤,자녀,김준수,자녀
570602-4653156,박하우,본인,이윤영,배우자,박서영,자녀,이예연,자녀
980926-3347888,정하아,본인,이하영,배우자,최정윤,자녀,임도우,자녀
711125-6685821,강서진,본인,,,,,,
900319-7314916,강예빈,본인,최하영,배우자,임현빈,자녀,,
901114-5336156,윤영아,본인,윤민영,배우자,윤정진,자녀,오예수,자녀
950512-9212575,강서우,본인,장정우,배우자,이준호,자녀,최준율,자녀
840827-2250638,한예우,본인,조정율,배우자,김준율,자녀,,
960517-5874752,최도현,본인,윤윤영,배우자,장지우,자녀,오예윤,자녀
930301-0225550,이예영,본인,윤준수,배우자,장도윤,자녀,조하호,자녀
720607-6690976,송민우,본인,이서윤,배우자,,,,
801213-3551552,윤영아,본인,이지빈,배우자,임준영,자녀,박준연,자녀
620909-1849001,송도윤,본인,오예혁,배우자,정서연,자녀,장현빈,자녀
710417-1001666,김준영,본인,,,,,,
961015-0009514,정준진,본인,조정진,배우자,이현연,자녀,,
620910-8426186,송하현,본인,임서수,배우자,,,,
970922-1695433,송하민,본인,이예수,배우자,이윤혁,자녀,,
790205-7330673,한도윤,본인,임서우,배우자,김서율,자녀,,
910709-5702741,최영빈,본인,김정연,배우자,윤윤빈,자녀,,
941109-7396314,강영아,본인,,,,,,
950326-4357630,송태우,본인,조정호,배우자,임민율,자녀,,
940820-0417047,이지수,본인,최도율,배우자,임서혁,자녀,김윤영,자녀
590406-9603672,이준수,본인,,,,,,
720412-7601653,한준현,본인,박현윤,배우자,조예율,자녀,,
960802-7850712,박예수,본인,최민혁,배우자,이지진,자녀,,
970901-1485283,한하연,본인,박예빈,배우자,임도빈,자녀,최민혁,자녀
900101-7696341,최하영,본인,,,,,,
951008-8807002,이예우,본인,이정우,배우자,,,,
510228-3521587,한예빈,본인,최도연,배우자,김민우,자녀,,
751106-4903439,송서연,본인,오정빈,배우자,,,,
640403-1101959,김서빈,본인,임도영,배우자,이현혁,자녀,,
971026-1015102,윤현아,본인,,,,,,
791009-1572985,송예진,본인,윤현율,배우자,김지윤,자녀,,
510225-8441972,한지현,본인,박준연,배우자,,,,
541204-8011979,김서영,본인,,,,,,
910207-6592144,이태빈,본인,정서혁,배우자,,,,
781016-6135886,송준빈,본인,최도연,배우자,정민수,자녀,,
570805-7660145,송도영,본인,,,,,,
870311-0499236,최예우,본인,최정연,배우자,김민진,자녀,,
920115-4652234,강예수,본인,윤예영,배우자,정서율,자녀,,
821220-6606758,최하현,본인,조예빈,배우자,최하진,자녀,,
800320-9368408,강지영,본인,김서빈,배우자,,,,
690421-5130693,윤지빈,본인,최지빈,배우자,오지우,자녀,정도진,자녀
870102-2845871,강태윤,본인,장준윤,배우자,박서윤,자녀,,
970617-1731361,윤지아,본인,,,,,,
991011-5611228,김현민,본인,장하연,배우자,임하빈,자녀,,
820915-2043389,김예우,본인,오민연,배우자,임민우,자녀,,
590723-8737776,최준영,본인,장준영,배우자,오윤호,자녀,오서빈,자녀
740817-7096475,임민윤,본인,오정윤,배우자,,,,
500813-0028463,윤예빈,본인,,,,,,
920405-3644358,이도영,본인,조준진,배우자,장지우,자녀,김지혁,자녀
690827-3538445,강서아,본인,,,,,,
810409-0680823,임현민,본인,,,,,,
710417-8491995,강예연,본인,정준연,배우자,윤도혁,자녀,최준수,자녀
670512-8169799,한지진,본인,,,,,,
730713-5842614,김서진,본인,장예우,배우자,윤윤우,자녀,김예빈,자녀
900710-3568685,정준우,본인,이하빈,배우자,,,,
820813-5529096,강태윤,본인,,,,,,
730217-0133207,정예빈,본인,장서영,배우자,최윤빈,자녀,,
620901-1614726,최태빈,본인,임윤호,배우자,정서윤,자녀,조서호,자녀
651007-6260367,임지아,본인,조예빈,배우자,,,,
890314-1485601,강영아,본인,장준진,배우자,이예우,자녀,,
870101-3116367,김민우,본인,조현영,배우자,이서호,자녀,정준영,자녀
670709-6067966,이현빈,본인,최민윤,배우자,김지수,자녀,,
570404-1763961,한태빈,본인,정하수,배우자,윤준영,자녀,,
580319-7359048,송영연,본인,윤정빈,배우자,정정진,자녀,오준연,자녀
570802-6400502,박서현,본인,조윤수,배우자,박정우,자녀,,
880217-2873057,송태수,본인,조서연,배우자,,,,
890613-4414095,임하민,본인,윤정혁,배우자,장정혁,자녀,,
670705-3493575,강영연,본인,김하수,배우자,,,,
940512-0558594,박서영,본인,임정우,배우자,윤윤빈,자녀,,
910704-5804737,윤태우,본인,임도윤,배우자,장지호,자녀,이정윤,자녀
770214-7955264,윤하아,본인,윤예수,배우자,김윤수,자녀,김민진,자녀
860811-8512942,임준영,본인,,,,,,
950408-1879496,정현민,본인,장현영,배우자,김지호,자녀,,
760612-0028390,강도아,본인,윤하윤,배우자,,,,
680209-3095368,임서영,본인,윤하연,배우자,조정연,자녀,,
840308-6477331,한예현,본인,임서윤,배우자,조예호,자녀,오지윤,자녀
821121-5247141,송태진,본인,김정진,배우자,오예영,자녀,김서호,자녀
650727-2515106,임태현,본인,오윤수,배우자,김민진,자녀,,
850913-2696659,윤하현,본인,,,,,,
790616-5344594,한지빈,본인,장도율,배우자,조지연,자녀,,
790123-5914490,임지영,본인,,,,,,
811108-1850227,강영현,본인,최지빈,배우자,,,,
580904-7798954,이민윤,본인,,,,,,
570811-8502860,박영빈,본인,김윤연,배우자,박예빈,자녀,조도연,자녀
960702-3363044,임서아,본인,정민진,배우자,최지우,자녀,,
850116-2011026,한현빈,본인,이윤진,배우자,이윤윤,자녀,최지우,자녀
690618-6039849,강민현,본인,조윤진,배우자,임지우,자녀,이도진,자녀
790602-2151196,송예아,본인,김하진,배우자,박서연,자녀,,
520619-3171073,임준현,본인,장현혁,배우자,김서호,자녀,,
541108-9225199,박민아,본인,장도우,배우자,,,,
931226-1471569,임준영,본인,윤지율,배우자,,,,
520104-4961195,이태영,본인,윤민수,배우자,최준우,자녀,,
650216-4368424,임하연,본인,김준빈,배우자,조정수,자녀,,
810423-2832814,김영수,본인,,,,,,
510522-3890192,최하수,본인,윤서율,배우자,박하혁,자녀,,
770415-8929261,최준현,본인,김도진,배우자,이도영,자녀,,
680921-1709872,최태진,본인,최민수,배우자,,,,
561205-0974243,최현연,본인,,,,,,
530605-3688303,정서영,본인,임준우,배우자,장윤수,자녀,,
701006-4955792,임태아,본인,장윤우,배우자,김서수,자녀,오지수,자녀
830928-7197460,윤현우,본인,임준수,배우자,김윤수,자녀,조정윤,자녀
671223-4925342,한민빈,본인,,,,,,
661027-5105329,이준아,본인,최준진,배우자,임현진,자녀,,
771116-8031032,윤예현,본인,박민호,배우자,오정우,자녀,,
730412-9890608,강현수,본인,,,,,,
561003-2751663,박영빈,본인,김현수,배우자,정예수,자녀,윤예호,자녀
981003-0196870,강하현,본인,장정수,배우자,,,,
821119-8834924,송준연,본인,오현윤,배우자,정도빈,자녀,김준진,자녀
890218-8562528,임도우,본인,조윤연,배우자,,,,
670508-1192550,이현진,본인,오준영,배우자,이현진,자녀,장민율,자녀
600620-1730414,한민빈,본인,,,,,,
950219-5677333,정태영,본인,박하율,배우자,,,,
700219-2253103,최영현,본인,,,,,,
981212-7222206,김현연,본인,장정빈,배우자,조서혁,자녀,,
861226-5260281,최태연,본인,조예빈,배우자,박도혁,자녀,,
550503-0836547,최민민,본인,장서우,배우자,이도수,자녀,,
871207-0690606,윤준윤,본인,오준영,배우자,,,,
790526-1801209,송하진,본인,오지수,배우자,박지율,자녀,,
970322-6649195,정민진,본인,박정우,배우자,,,,
670311-1436743,최지우,본인,,,,,,
710220-5793335,송지빈,본인,조도연,배우자,오윤연,자녀,오도빈,자녀
930604-6642696,송현현,본인,장서영,배우자,정도수,자녀,오민우,자녀
720922-5264794,정민현,본인,최준우,배우자,조지혁,자녀,박정빈,자녀
990810-4200925,김도현,본인,최윤수,배우자,임도수,자녀,,
981027-3950645,강태현,본인,조도수,배우자,,,,
790515-5705337,박민영,본인,,,,,,
520505-0476417,이서민,본인,,,,,,
810117-0502922,최도윤,본인,,,,,,
970519-1232358,한민연,본인,정하연,배우자,장정빈,자녀,,
610914-9053461,최지윤,본인,김하윤,배우자,최예호,자녀,,
640812-3640016,강민아,본인,오예윤,배우자,,,,
501118-5778178,최민연,본인,오현혁,배우자,오준윤,자녀,,
591127-7473551,윤태아,본인,조현혁,배우자,김서빈,자녀,,
771021-0516292,임영윤,본인,조준영,배우자,,,,
850210-0676271,최지연,본인,임민수,배우자,임현수,자녀,,
900823-8176845,최도영,본인,임도호,배우자,최지혁,자녀,정지윤,자녀
530705-7628116,송민현,본인,정정우,배우자,조현연,자녀,,
581105-3632666,임예빈,본인,,,,,,
660109-7273173,윤도우,본인,,,,,,
560514-8880687,정준윤,본인,임도영,배우자,정예빈,자녀,,
691109-0558136,이도영,본인,윤준윤,배우자,이민율,자녀,조준영,자녀
940924-7584789,윤도영,본인,오윤빈,배우자,조서연,자녀,오정혁,자녀
690904-2854078,강민연,본인,이윤진,배우자,최지율,자녀,오현율,자녀
800713-8355520,윤서연,본인,박정연,배우자,박지혁,자녀,,
530402-1516384,한민수,본인,,,,,,
500423-9537993,송지윤,본인,김정우,배우자,김정윤,자녀,임도영,자녀
690203-9451351,송태빈,본인,장예호,배우자,,,,
791015-4156750,송도진,본인,정준진,배우자,,,,
930111-6257645,임현아,본인,박윤우,배우자,임지영,자녀,,
871009-0795411,송현현,본인,윤도빈,배우자,조민호,자녀,정지연,자녀
900214-1261191,강영아,본인,장도진,배우자,,,,
550502-2082450,김현진,본인,박민우,배우자,정서연,자녀,,
750806-6366997,한하수,본인,,,,,,
580424-3512139,최서연,본인,장하호,배우자,이준빈,자녀,,
781025-3899016,임서우,본인,정정연,배우자,최서우,자녀,임윤수,자녀
861013-5937102,이준아,본인,정현혁,배우자,이도수,자녀,,
841202-3891713,강지영,본인,장윤호,배우자,,,,
731126-8707940,박서진,본인,,,,,,
980627-2901553,강현윤,본인,정준혁,배우자,윤윤율,자녀,김윤혁,자녀
611228-1906868,이준윤,본인,임서연,배우자,정예우,자녀,임준혁,자녀
550108-8567277,강도진,본인,임예연,배우자,박정율,자녀,이지진,자녀
780306-6251932,윤현우,본인,장예빈,배우자,이현진,자녀,최준수,자녀
621218-1188774,강영빈,본인,오예영,배우자,,,,
991214-9926630,윤지진,본인,,,,,,
991216-9411389,윤지진,본인,,,,,,
660825-4510507,윤예민,본인,장정연,배우자,,,,
960816-0185176,이준윤,본인,이정연,배우자,윤윤수,자녀,,
900513-5005355,한예민,본인,최준윤,배우자,임지진,자녀,박민우,자녀
720816-7610826,임서민,본인,최정우,배우자,,,,
651113-3016500,이현진,본인,조현윤,배우자,,,,
561210-3578919,박하민,본인,,,,,,
780308-2604260,강민현,본인,김서빈,배우자,,,,
730809-2126831,최지연,본인,윤서수,배우자,이민영,자녀,,
540701-9263340,임태진,본인,,,,,,
680707-7976195,임현영,본인,,,,,,
741226-1926742,강서연,본인,조민호,배우자,임현우,자녀,임도영,자녀
980410-9918976,송준우,본인,,,,,,
590408-3992307,박지민,본인,임하빈,배우자,,,,
610617-2754064,박서우,본인,,,,,,
670210-6525584,박도윤,본인,,,,,,
501126-5804562,송하민,본인,오정연,배우자,,,,
921128-3188282,임지윤,본인,,,,,,
610505-2726286,김영빈,본인,조하연,배우자,최도우,자녀,최민혁,자녀
880905-9951583,김서빈,본인,박하수,배우자,김예호,자녀,오예혁,자녀
521018-6786451,강서민,본인,최예호,배우자,임현혁,자녀,정하수,자녀
980622-1767094,최서민,본인,정예연,배우자,장현빈,자녀,,
521119-6732536,김도윤,본인,,,,,,
881006-4635353,송민빈,본인,조현영,배우자,,,,
840422-8957291,송민진,본인,박예영,배우자,,,,
520406-4966849,이서수,본인,이민영,배우자,이정율,자녀,,
721026-1303876,김예민,본인,윤서우,배우자,최현우,자녀,최현수,자녀
690316-5669704,박예윤,본인,이현영,배우자,조예윤,자녀,,
510323-5233372,김도우,본인,윤지연,배우자,임현우,자녀,이정우,자녀
880628-1277991,김영영,본인,김민우,배우자,,,,
910202-8066523,강하영,본인,임윤윤,배우자,장지수,자녀,,
621222-5969197,한서아,본인,이예빈,배우자,윤지진,자녀,,
901025-0563138,한태현,본인,,,,,,
710611-5670298,윤예빈,본인,,,,,,
940209-2331695,정현수,본인,,,,,,
950405-8342091,임태민,본인,윤예진,배우자,임현진,자녀,박도연,자녀
890703-4454487,강서민,본인,,,,,,
500424-8296265,이서아,본인,윤준연,배우자,,,,
680614-6436288,윤영영,본인,,,,,,
750204-6178227,강서영,본인,장준우,배우자,박윤빈,자녀,임준연,자녀
700613-4479616,박하빈,본인,이윤호,배우자,,,,
530620-2740246,정민민,본인,,,,,,
730718-5292451,한예수,본인,,,,,,
951117-6351552,김영연,본인,장도수,배우자,오민연,자녀,,
920410-2305917,박준빈,본인,,,,,,
600118-8113697,박지진,본인,최예진,배우자,이윤윤,자녀,장서영,자녀
600402-5257986,윤지현,본인,임윤빈,배우자,오서우,자녀,,
710218-5669455,최지윤,본인,정민진,배우자,장정빈,자녀,,
930921-9529133,송서수,본인,,,,,,
700812-4427442,이태우,본인,이정연,배우자,,,,
640920-8679667,강태수,본인,오민호,배우자,,,,
551011-7493687,정서우,본인,박도영,배우자,조정우,자녀,,
920904-2647874,최지민,본인,박현우,배우자,,,,
510926-7724969,임서현,본인,박지우,배우자,윤하수,자녀,,
520126-8227218,이태윤,본인,이정연,배우자,,,,
600603-9929429,이서우,본인,장예수,배우자,,,,
670720-7741676,윤하수,본인,정하혁,배우자,,,,
820617-9439855,정하수,본인,,,,,,
910503-9102113,김준수,본인,,,,,,
970328-1669486,이태아,본인,최준우,배우자,장민호,자녀,,
741205-2367492,이태수,본인,임도수,배우자,김현연,자녀,박준진,자녀
750425-6712445,박예민,본인,임윤혁,배우자,박하혁,자녀,,
950112-6666465,박지빈,본인,박윤진,배우자,윤예호,자녀,임지수,자녀
730406-7342934,이서아,본인,장민빈,배우자,,,,
500927-1848404,최영민,본인,최예율,배우자,,,,
971007-1405048,김서현,본인,오현윤,배우자,임서진,자녀,장현윤,자녀
541010-5356128,이하현,본인,조현연,배우자,임준혁,자녀,조준빈,자녀
860628-8102424,박준연,본인,장예빈,배우자,최예진,자녀,박예율,자녀
520803-6292386,윤예연,본인,,,,,,
900911-6279678,송현빈,본인,정정윤,배우자,,,,
510717-5168664,송준민,본인,,,,,,
630518-3205884,최현아,본인,정준윤,배우자,정하연,자녀,최지진,자녀
940427-6354891,최하영,본인,,,,,,
690909-5666755,한민아,본인,박준수,배우자,김민윤,자녀,,
950914-2941536,정도우,본인,김지영,배우자,,,,
640212-0799563,이지연,본인,윤현수,배우자,임민호,자녀,장준혁,자녀
570819-0045434,박지영,본인,최도윤,배우자,,,,
871201-9729584,한태민,본인,,,,,,
940527-6807009,강영수,본인,,,,,,
871123-4916048,김지현,본인,,,,,,
921007-5649524,한예연,본인,정하윤,배우자,,,,
850807-3392563,최예빈,본인,,,,,,
981011-3765340,김영아,본인,박하영,배우자,조예영,자녀,,
520901-5678259,박지윤,본인,최도율,배우자,장서진,자녀,,
680819-3754324,강도현,본인,임도혁,배우자,,,,
790224-3444785,임태윤,본인,박예윤,배우자,,,,
990423-8891389,김태진,본인,조지우,배우자,,,,
610104-9675351,박도수,본인,,,,,,
880606-3629029,한도연,본인,,,,,,
701117-9893244,강현수,본인,오윤율,배우자,,,,
791017-6874199,이서수,본인,윤정수,배우자,오정연,자녀,최정연,자녀
640528-2574076,박도빈,본인,김하혁,배우자,오정연,자녀,박준율,자녀
640102-1746525,임지진,본인,,,,,,
910914-6616572,이서민,본인,,,,,,
950912-9993100,이영우,본인,오윤혁,배우자,오민호,자녀,,
610405-0738158,한도영,본인,조예혁,배우자,정지혁,자녀,오현빈,자녀
780701-9005229,김예진,본인,최서연,배우자,,,,
850520-4320394,한도빈,본인,김지호,배우자,윤하윤,자녀,박윤율,자녀
640218-2434640,한민영,본인,김예빈,배우자,조도빈,자녀,윤예호,자녀
551204-1495491,한준진,본인,임도호,배우자,,,,
631009-2162304,정현윤,본인,임지호,배우자,윤현연,자녀,장지진,자녀
910806-7729739,김영아,본인,임윤율,배우자,윤예우,자녀,임서진,자녀
681210-7154693,정민우,본인,이현진,배우자,장윤율,자녀,,
610617-3345243,한영진,본인,,,,,,
601007-1311775,박준현,본인,오민율,배우자,정지윤,자녀,,
971216-1992498,한서우,본인,임도수,배우자,김예연,자녀,오정우,자녀
521024-6824924,이예수,본인,,,,,,
660201-4647653,이태윤,본인,,,,,,
780116-9768892,임도아,본인,이예혁,배우자,임도율,자녀,,
780219-5964162,송도민,본인,,,,,,
811014-7228838,강준영,본인,,,,,,
680925-0032117,이예아,본인,최윤우,배우자,정예진,자녀,김도우,자녀
910218-7535170,최하현,본인,,,,,,
780706-6499370,한예윤,본인,오지호,배우자,,,,
501210-0687453,이하아,본인,,,,,,
700625-4739732,박준진,본인,최민우,배우자,최도수,자녀,윤도영,자녀
660801-7303699,한준우,본인,정민수,배우자,임도우,자녀,오예혁,자녀
670405-7363755,박태수,본인,조정수,배우자,박현혁,자녀,,
890703-4245022,송서진,본인,김예진,배우자,정준율,자녀,장현수,자녀
650112-4206372,강하진,본인,장민수,배우자,,,,
800728-7331264,강하진,본인,김하수,배우자,,,,
801022-5774261,윤현우,본인,윤정우,배우자,최준우,자녀,이하진,자녀
661121-0719569,송도현,본인,오민윤,배우자,오윤혁,자녀,윤정수,자녀
560523-9759731,최영민,본인,,,,,,
530207-6798776,이도우,본인,이윤윤,배우자,윤예수,자녀,정윤우,자녀
730721-8222890,윤준연,본인,박지진,배우자,이서영,자녀,오서진,자녀
600903-3465319,김지윤,본인,장현호,배우자,임예윤,자녀,이도호,자녀
741210-9728301,한민영,본인,정윤빈,배우자,,,,
890416-6854362,한준진,본인,이정윤,배우자,장서연,자녀,임서호,자녀
670907-0253742,정서민,본인,,,,,,
720717-5960120,정영아,본인,이준수,배우자,정현윤,자녀,,
550116-0374715,윤현현,본인,이서수,배우자,오정윤,자녀,박정연,자녀
880423-1813410,박서민,본인,임하수,배우자,조현혁,자녀,오예율,자녀
501106-5341279,한현아,본인,윤예영,배우자,,,,
620524-4840010,윤도빈,본인,임준율,배우자,,,,
770604-6676142,박도아,본인,김예빈,배우자,오지빈,자녀,최정연,자녀
920808-2972396,한현연,본인,이서진,배우자,박민빈,자녀,,
651021-0315408,한예연,본인,임예혁,배우자,,,,
700713-3637363,한도현,본인,박준빈,배우자,이민호,자녀,,
651211-0924047,강현윤,본인,,,,,,
620824-6853680,윤민민,본인,김윤율,배우자,임도연,자녀,,
730321-2360133,박도영,본인,오윤빈,배우자,조지율,자녀,김윤호,자녀
751104-9840292,강지빈,본인,장현연,배우자,,,,
971106-9645165,윤도민,본인,조현빈,배우자,,,,
981214-1924554,이지빈,본인,최도연,배우자,정도빈,자녀,,
710405-8703253,송현우,본인,임민빈,배우자,박민진,자녀,,
690901-7910862,강지연,본인,임서영,배우자,,,,
720513-1974335,박도현,본인,,,,,,
631127-7929028,최태수,본인,,,,,,
890402-1439557,송서우,본인,,,,,,
981215-0245121,한현우,본인,조예연,배우자,임지윤,자녀,박예율,자녀
880718-3790721,임지민,본인,장준율,배우자,박예빈,자녀,윤정연,자녀
920101-0193944,박서현,본인,오윤연,배우자,조윤진,자녀,,
890602-5587456,정태빈,본인,박윤수,배우자,,,,
931227-6151781,윤현아,본인,,,,,,
520108-2986077,정지민,본인,장준빈,배우자,박윤진,자녀,,
870825-2058553,김지민,본인,박준우,배우자,이정우,자녀,박하수,자녀
790527-5457018,김민우,본인,이서호,배우자,조민호,자녀,,
871028-7783326,정준민,본인,김도호,배우자,정예호,자녀,,
900421-2364866,이민영,본인,임민빈,배우자,,,,
